department,course_code,title,level,year,year_code,semester,group_name
Applied Mathematics,AARPG,Mathematical Modeling & Simulation,,4,74,,A
Applied Mathematics,AARPG,Mathematical Modeling & Simulation,,5,75,,A
Applied Mathematics,AARPG,Mathematical Modeling & Simulation,,6,76,,A
Applied Mathematics,AARTG,Engineering Analysis and Design ,7,3,73,,A
Applied Mathematics,AARTG,Stochastic Processes,7,3,73,,A
Applied Mathematics,AARTG,Stochastic Processes,7,3,73,,A
Applied Mathematics,AARTG,Stochastic Processes,7,3,73,,A
Applied Mathematics,AARTG,Stochastic Processes,7,3,73,,A
Applied Mathematics,ACONG,Mathematics I,7,1,71,1,A
Applied Mathematics,ACONG,Mathematics I,7,1,71,1,B
Applied Mathematics,ACONG,Mathematics I,7,1,71,1,C
Applied Mathematics,ACONG,Mathematics I,7,1,71,2,C
Applied Mathematics,ACONG,Mathematics I,7,2,72,3,B
Applied Mathematics,ACONG,Mathematics I,7,2,72,3,A
Applied Mathematics,ACONG,Mathematics I,7,2,72,4,A
Applied Mathematics,ACONG,Mathematics I,7,2,72,4,A
Applied Mathematics,ACONG,Mathematics I,7,2,72,4,A
 Applied Mathematics,ACONG,Mathematical Modeling & Simulation,8,2,82,4,A
Applied Mathematics,ACONGG,Mathematics I,7,1,71,2,A
Applied Mathematics,ACONGG,Mathematics I,7,1,71,2,B
Applied Mathematics,ACREG,MA-CP-1,,,95,,A
Applied Mathematics,ACREG,MA-CP-2,,,95,,A
Applied Mathematics,ACREG,MA-CP-3,,,95,,A
Applied Mathematics,ACREG,MA-CP-4,,,95,,A
Applied Mathematics,AFING,Mathematics III,8,4,84,,A
Applied Mathematics,AFING,Financial Engineering,8,4,84,,A
Applied Mathematics,AFING,Financial Engineering,8,4,84,,A
Applied Mathematics,AFING,Financial Engineering,8,4,84,,A
Applied Mathematics,DDESG,Mathematics I,7,1,71,1,D
Applied Mathematics,DDESG,Mathematics I,7,1,71,2,D
Applied Mathematics,DDESG,Mathematics I,7,1,71,1,E
Applied Mathematics,DDESG,Mathematics I,7,1,71,2,E
Applied Mathematics,DDESG,Mathematics I,7,1,71,1,F
Applied Mathematics,DDESG,Mathematics I,7,1,71,2,F
Applied Mathematics,DDESG,Mathematics I,7,2,72,4,A
Applied Mathematics,DDESG,Mathematics I,7,2,72,3,C
Applied Mathematics,DDESG,Mathematics I,7,2,72,3,D
Applied Mathematics,DTEXT,Theory of Computation,8,4,84,,A
Applied Mathematics,HFILG,Discreate Mathematics,8,1,81,1,A
Applied Mathematics,HFILG8,Discreate Mathematics,8,1,1A,2,A
Applied Mathematics,HFILG8,Discreate Mathematics,8,1,1B,2,A
Applied Mathematics,HFILG8,Discreate Mathematics,8,1,1C,2,A
Applied Mathematics,HFILG,Discreate Mathematics,8,2,82,3,A
Applied Mathematics,HFILG,Discreate Mathematics,8,2,82,4,A
Applied Mathematics,HFILG,Discreate Mathematics,8,2,82,4,B
Applied Mathematics,HFILG,Discreate Mathematics,8,2,82,4,C
Applied Mathematics,HFILG,Discreate Mathematics,8,3,83,5,A
Applied Mathematics,HFITG,Graph Theory,8,3,83,6,A
Applied Mathematics,HFITG,Graph Theory,8,3,83,6,B
Applied Mathematics,HFITG,Graph Theory,8,3,83,6,C
Applied Mathematics,HFITG,Graph Theory,8,3,83,,D
